Bedroom,LGA,Period,Affordable,Percent
1br,Ararat,2015-06-01 00:00:00,1,1
1br,Ararat,2015-09-01 00:00:00,1,1
1br,Ararat,2015-12-01 00:00:00,2,0.667
1br,Ararat,2016-03-01 00:00:00,3,0.75
1br,Ararat,2016-06-01 00:00:00,3,0.6
1br,Ararat,2016-09-01 00:00:00,2,1
1br,Ararat,2016-12-01 00:00:00,1,0.5
1br,Ararat,2017-03-01 00:00:00,2,0.667
1br,Ararat,2017-09-01 00:00:00,1,1
1br,Ararat,2017-12-01 00:00:00,3,0.75
1br,Ararat,2018-03-01 00:00:00,1,0.333
1br,Ararat,2018-06-01 00:00:00,1,0.2
1br,Ararat,2018-09-01 00:00:00,0,0
1br,Ararat,2018-12-01 00:00:00,0,0
1br,Ararat,2019-03-01 00:00:00,0,0
1br,Ararat,2019-06-01 00:00:00,0,0
1br,Ararat,2019-09-01 00:00:00,0,0
1br,Ararat,2019-12-01 00:00:00,0,0
1br,Ararat,2020-03-01 00:00:00,0,0
1br,Ararat,2020-06-01 00:00:00,0,0
1br,Ararat,2020-09-01 00:00:00,0,0
1br,Ararat,2020-12-01 00:00:00,0,0
1br,Ararat,2021-03-01 00:00:00,1,0.333
1br,Ararat,2021-06-01 00:00:00,1,0.5
1br,Ararat,2021-09-01 00:00:00,0,0
1br,Ararat,2021-12-01 00:00:00,0,0
1br,Ararat,2022-03-01 00:00:00,0,0
1br,Ararat,2022-06-01 00:00:00,0,0
1br,Ararat,2022-09-01 00:00:00,0,0
1br,Ararat,2022-12-01 00:00:00,1,0.333
1br,Ararat,2023-03-01 00:00:00,0,0
1br,Ararat,2023-06-01 00:00:00,0,0
1br,Ararat,2023-09-01 00:00:00,0,0
1br,Ararat,2023-12-01 00:00:00,0,0
1br,Ararat,2024-03-01 00:00:00,0,0
1br,Ararat,2024-06-01 00:00:00,0,0
1br,Ararat,2024-09-01 00:00:00,0,0
1br,Ararat,2024-12-01 00:00:00,0,0
1br,Ararat,2025-03-01 00:00:00,0,0
1br,Ballarat,2000-03-01 00:00:00,144,0.923
1br,Ballarat,2000-06-01 00:00:00,74,0.86
1br,Ballarat,2000-09-01 00:00:00,83,0.902
1br,Ballarat,2000-12-01 00:00:00,90,0.978
1br,Ballarat,2001-03-01 00:00:00,116,0.921
1br,Ballarat,2001-06-01 00:00:00,81,0.931
1br,Ballarat,2001-09-01 00:00:00,78,0.929
1br,Ballarat,2001-12-01 00:00:00,72,0.867
1br,Ballarat,2002-03-01 00:00:00,94,0.879
1br,Ballarat,2002-06-01 00:00:00,70,0.814
1br,Ballarat,2002-09-01 00:00:00,55,0.775
1br,Ballarat,2002-12-01 00:00:00,79,0.823
1br,Ballarat,2003-03-01 00:00:00,76,0.844
1br,Ballarat,2003-06-01 00:00:00,64,0.771
1br,Ballarat,2003-09-01 00:00:00,69,0.75
1br,Ballarat,2003-12-01 00:00:00,52,0.712
1br,Ballarat,2004-03-01 00:00:00,77,0.74
